id,name,height,weight,base_experience
1,Bulbasaur,7,69,64
2,Ivysaur,10,130,142
3,Venusaur,20,1000,236
4,Charmander,6,85,62
5,Charmeleon,11,190,142
6,Charizard,17,905,240
7,Squirtle,5,90,63
8,Wartortle,10,225,142
9,Blastoise,16,855,239
10,Caterpie,3,29,39
11,Metapod,7,99,72
12,Butterfree,11,320,178
13,Weedle,3,32,39
14,Kakuna,6,100,72
15,Beedrill,10,295,178
16,Pidgey,3,18,50
17,Pidgeotto,11,300,122
18,Pidgeot,15,395,216
19,Rattata,3,35,51
20,Raticate,7,185,145
21,Spearow,3,20,52
22,Fearow,12,380,155
23,Ekans,20,69,58
24,Arbok,35,650,157
25,Pikachu,4,60,112
26,Raichu,8,300,218
27,Sandshrew,6,120,60
28,Sandslash,10,295,158
29,Nidoran-F,4,70,55
30,Nidorina,8,200,128
